 Statistics List (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
4,               2009~,,,,Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~, -> B -> B_7 -> D212 -> D212_2009
5,                    Expcetation of Future Income (15 years old and over),Statistics Table,Statistics Korea,2Annual (2009 ~ 2009),Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Expcetation of Future Income (15 years old and over), -> B -> B_7 -> D212 -> D212_2009 -> 
5,                    Opinion on Income Distribution (15 years old and over),Statistics Table,Statistics Korea,2Annual (2009 ~ 2009),Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Opinion on Income Distribution (15 years old and over), -> B -> B_7 -> D212 -> D212_2009 -> 
5,"                    Change in Household Income (As Compared with 1 year ago, Household head aged 19 years old and over)",Statistics Table,Statistics Korea,2Annual (2011 ~ 2023),"Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Change in Household Income (As Compared with 1 year ago, Household head aged 19 years old and over)", -> B -> B_7 -> D212 -> D212_2009 -> 
5,                    Financial Condition of Household in the Next Year (Household head aged 19 years old and over),Statistics Table,Statistics Korea,2Annual (2011 ~ 2023),Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Financial Condition of Household in the Next Year (Household head aged 19 years old and over), -> B -> B_7 -> D212 -> D212_2009 -> 
5,"                    Change in Household Debt (As Compared with 1 year ago, Household head aged 19 years old and over)",Statistics Table,Statistics Korea,2Annual (2011 ~ 2023),"Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Change in Household Debt (As Compared with 1 year ago, Household head aged 19 years old and over)", -> B -> B_7 -> D212 -> D212_2009 -> 
5,"                    Primary consumption expenditure for retrenchment (Main Response, Household head aged 19 years old and over)",Statistics Table,Statistics Korea,2Annual (2011 ~ 2023),"Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Primary consumption expenditure for retrenchment (Main Response, Household head aged 19 years old and over)", -> B -> B_7 -> D212 -> D212_2009 -> 
5,                    Level of Satisfaction with Income (19 years old and over),Statistics Table,Statistics Korea,2Annual (2009 ~ 2023),Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Level of Satisfaction with Income (19 years old and over), -> B -> B_7 -> D212 -> D212_2009 -> 
5,"                    Primary consumption expenditure for retrenchment (Main Response, Household head aged 19 years old and over)",Statistics Table,Statistics Korea,2Annual (2011 ~ 2023),"Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Primary consumption expenditure for retrenchment (Main Response, Household head aged 19 years old and over)", -> B -> B_7 -> D212 -> D212_2009 -> 
5,                    Satisfaction with a Daily Life as a Consumer (19 years old and over),Statistics Table,Statistics Korea,2Annual (2009 ~ 2023),Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Satisfaction with a Daily Life as a Consumer (19 years old and over), -> B -> B_7 -> D212 -> D212_2009 -> 
5,                    Subjective Income Level (Household head aged 19 years old and over),Statistics Table,Statistics Korea,2Annual (2011 ~ 2023),Statistical Database -> Society -> Social Survey -> Income And Consumption -> 2009~ -> Subjective Income Level (Household head aged 19 years old and over), -> B -> B_7 -> D212 -> D212_2009 -> 
3,          Safety,,,,Statistical Database -> Society -> Social Survey -> Safety, -> B -> B_7 -> D21C
4,               2008~,,,,Statistical Database -> Society -> Social Survey -> Safety -> 2008~, -> B -> B_7 -> D21C -> 101_D21C
5,"                    iews on Social Safety (General Social Safety, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> iews on Social Safety (General Social Safety, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (National Security, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (National Security, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Natural Disasters, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Natural Disasters, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Constructions and Facilities, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Constructions and Facilities, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Traffic Accident, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Traffic Accident, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Fire, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Fire, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Food, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2014 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Food, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Food security, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Food security, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Information Security, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Information Security, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Threat of Disease, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Threat of Disease, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Views on Social Safety (Crime, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Social Safety (Crime, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Main Reason for Social Anxiety (Main Response, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Main Reason for Social Anxiety (Main Response, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Main Reason for Social Anxiety (Multiple Response, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Main Reason for Social Anxiety (Multiple Response, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Changes in Safety Condition of Society (As Compared with 5 years ago, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Changes in Safety Condition of Society (As Compared with 5 years ago, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Changes in the Perception of Safety in Society (As Compared with 5 years after, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Changes in the Perception of Safety in Society (As Compared with 5 years after, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Views on safety of imported food(12 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on safety of imported food(12 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Main reason for concern about imported food safety(13 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Main reason for concern about imported food safety(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Awareness about food safety in school and day care(13 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Awareness about food safety in school and day care(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Main reason for concern about school food safety(13 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Main reason for concern about school food safety(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Awareness about safety of food sold around school zones(13 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Awareness about safety of food sold around school zones(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Main reason for concern about safety of food sold around school zones(13 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Main reason for concern about safety of food sold around school zones(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    General awareness of food safety(13 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> General awareness of food safety(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Main reason for concern about food safety(13 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Main reason for concern about food safety(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Issues to resolve in order to improve food safety(13 years old and over),Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Issues to resolve in order to improve food safety(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Abiding by the Law among Other People (13 years old and over),Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Abiding by the Law among Other People (13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Self-Abiding by the Law (13 years old and over),Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Self-Abiding by the Law (13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Reasons for not Observing Laws(13 years old and over),Statistics Table,Statistics Korea,2Annual (2008 ~ 2014),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Reasons for not Observing Laws(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Public Order Level (Maintaining Order in Public Places, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Public Order Level (Maintaining Order in Public Places, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Public Order Level (Keeping the Street Clean, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Public Order Level (Keeping the Street Clean, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Public Order Level (Walk order, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Public Order Level (Walk order, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Public Order Level (Observe Safe Driving, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Public Order Level (Observe Safe Driving, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                     Public Order Level (Using designated areas for smoking, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ ->  Public Order Level (Using designated areas for smoking, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Public Order Level (Keeping the Street Clean, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Public Order Level (Keeping the Street Clean, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Public Order Level (Not using seats only for the elderly or pregnant women, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Public Order Level (Not using seats only for the elderly or pregnant women, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Reason for traffic accidents(13 years old and over),Statistics Table,Statistics Korea,2Annual (2008 ~ 2012),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Reason for traffic accidents(13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Reason for traffic accidents(pedestrian's standpoint, 15 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2012),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Reason for traffic accidents(pedestrian's standpoint, 15 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Reason for traffic accidents(driver's standpoint, 15 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2012),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Reason for traffic accidents(driver's standpoint, 15 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Satisfaction of the Traffic Safety Facilities (13 years old and over),Statistics Table,Statistics Korea,2Annual (2008 ~ 2016),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Satisfaction of the Traffic Safety Facilities (13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Views on Safety of Walking at Night (13 years old and over),Statistics Table,Statistics Korea,2Annual (2008 ~ 2018),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Views on Safety of Walking at Night (13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Taking action against disasters or emergencies (Emergency, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Taking action against disasters or emergencies (Emergency, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Taking action against disasters or emergencies (Following instructions, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Taking action against disasters or emergencies (Following instructions, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Taking action against disasters or emergencies (How to use a fire extinguisher, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Taking action against disasters or emergencies (How to use a fire extinguisher, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,"                    Taking action against disasters or emergencies (Artificial respiration or CPR, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Taking action against disasters or emergencies (Artificial respiration or CPR, 13 years old and over)", -> B -> B_7 -> D21C -> 101_D21C -> 
5,                    Safety of walking at Night and reasons for feeling unsafe to walk at night (13 years old and over),Statistics Table,Statistics Korea,2Annual (2020 ~ 2022),Statistical Database -> Society -> Social Survey -> Safety -> 2008~ -> Safety of walking at Night and reasons for feeling unsafe to walk at night (13 years old and over), -> B -> B_7 -> D21C -> 101_D21C -> 
3,          Environment,,,,Statistical Database -> Society -> Social Survey -> Environment, -> B -> B_7 -> D219
4,               2008~,,,,Statistical Database -> Society -> Social Survey -> Environment -> 2008~, -> B -> B_7 -> D219 -> 101_D219
5,"                    Sentiment in the Present Surrounding Environment (Air, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Sentiment in the Present Surrounding Environment (Air, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Sentiment in the Present Surrounding Environment (Water, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Sentiment in the Present Surrounding Environment (Water, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Sentiment in the Present Surrounding Environment (Soil, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Sentiment in the Present Surrounding Environment (Soil, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Sentiment in the Present Surrounding Environment (Noise, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Sentiment in the Present Surrounding Environment (Noise, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Sentiment in the Present Surrounding Environment (Forest Environment, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Sentiment in the Present Surrounding Environment (Forest Environment, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Sentiment in the Present Surrounding Environment (Overall living environment, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Sentiment in the Present Surrounding Environment (Overall living environment, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Environment in the future (As Compared with 5 Years Ago, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2016 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Environment in the future (As Compared with 5 Years Ago, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Changes in the Surrounding Environment Comparing  with 1 Year Ago (Air, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2014),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Changes in the Surrounding Environment Comparing  with 1 Year Ago (Air, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Changes in the Surrounding Environment Comparing  with 1 Year Ago (Water, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2014),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Changes in the Surrounding Environment Comparing  with 1 Year Ago (Water, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Changes in the Surrounding Environment Comparing  with 1 Year Ago (Soil, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2014),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Changes in the Surrounding Environment Comparing  with 1 Year Ago (Soil, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Changes in the Surrounding Environment Comparing  with 1 Year Ago (Noise, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2014),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Changes in the Surrounding Environment Comparing  with 1 Year Ago (Noise, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Changes in the Surrounding Environment Comparing  with 1 Year Ago (Forest Environment, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2014),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Changes in the Surrounding Environment Comparing  with 1 Year Ago (Forest Environment, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Environment in the future (As Compared with 5 Years After, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2016 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Environment in the future (As Compared with 5 Years After, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,                    Environment in the Future (13 years old and over),Statistics Table,Statistics Korea,2Annual (2008 ~ 2014),Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Environment in the Future (13 years old and over), -> B -> B_7 -> D219 -> 101_D219 -> 
5,                    Tax on Environmetal Protection (13 years old and over),Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Tax on Environmetal Protection (13 years old and over), -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about Pollution (Climate Changes, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about Pollution (Climate Changes, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about Pollution (Toxic substance, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about Pollution (Toxic substance, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about Pollution (Leakage of toxic chemicals, Radiation leakage, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2014 ~ 2016),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about Pollution (Leakage of toxic chemicals, Radiation leakage, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about Pollution (Radiation, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about Pollution (Radiation, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about Pollution (Fine dust, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2014 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about Pollution (Fine dust, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about Pollution (Pesticides, Chemical fertilizers, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2014 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about Pollution (Pesticides, Chemical fertilizers, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about Pollution (Tap water, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2018 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about Pollution (Tap water, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about Pollution (Use of Pesticides, Chemical fertilizers, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2012),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about Pollution (Use of Pesticides, Chemical fertilizers, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about the Use of Chemicals on Agricultural Products (Domestic Products, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2012),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about the Use of Chemicals on Agricultural Products (Domestic Products, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about the Use of Chemicals on Agricultural Products (Imported Products, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2012),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about the Use of Chemicals on Agricultural Products (Imported Products, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Anxiety about the Use of Chemicals on Agricultural Products(Domestic and Imported Products, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2008 ~ 2012),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Anxiety about the Use of Chemicals on Agricultural Products(Domestic and Imported Products, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution (Use Public Transportation, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution (Use Public Transportation, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution (Recycle waste, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution (Recycle waste, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution (Reduce food waste, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution (Reduce food waste, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution(Reduce the use of chemical detergents, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution(Reduce the use of chemical detergents, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution (Don't use disposable products, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution (Don't use disposable products, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution (Buy Environment-Friendly Goods, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution (Buy Environment-Friendly Goods, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution (Participate in Environmental Campaigns, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2010 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution (Participate in Environmental Campaigns, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution (Water Saving, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2016 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution (Water Saving, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Efforts to Prevent Environmental Pollution (Reduce Standby Power, 13 years old and over)",Statistics Table,Statistics Korea,2Annual (2016 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Efforts to Prevent Environmental Pollution (Reduce Standby Power, 13 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
5,"                    Participation in the Car-free campaigns (Household head, 19 years old and over)",Statistics Table,Statistics Korea,2Annual (2016 ~ 2022),"Statistical Database -> Society -> Social Survey -> Environment -> 2008~ -> Participation in the Car-free campaigns (Household head, 19 years old and over)", -> B -> B_7 -> D219 -> 101_D219 -> 
